JobTitle,company,description,Level,Type,StandardJobTitle
Application Development Team Leader, IDH, Full Time · Manager · 5-8 Yrs of Exp · Information Technology (IT) · Software Development · Information Technology · Software · Microsoft Office · Computer Science · Computer Engineering - New,Managerial,Full Time,Software Engneering 
Scrum Master / Software Project Manager, Togar, Full Time · Experienced · 5+ Yrs of Exp · Scrum · Computer Science · Software Development · Information Technology (IT) · Agile · Scrum Master · Software · XP · Agile Frameworks · English · Kanban - June 23,Experienced,Full Time,Software Engneering 
Senior Front End Developer - Angular, EastNets, Full Time · Work From Home · Experienced · 2+ Yrs of Exp · Software Development · Angular · Computer Science · Information Technology (IT) · javaScript · CSS · HTML · Front End · Development - July 11,Experienced,Full Time,Software Engneering 
Senior IT Sales Executive, Confidential, Full Time · Experienced · 3-5 Yrs of Exp · Sales · Sales Skills · Sales Target · Customer Service · English · Communication · Skills · IT · Industry · Customer Service/Support · Sales/Retail - July 1,Experienced,Full Time,IT Category
IOS Software Engineering Consultant, TruDoc 24x7, Full Time · Experienced · 5-7 Yrs of Exp · iOS · Computer Science · Software Development · Information Technology (IT) · Swift · Git · APIs · JSON · Objective-C · RESTful · Software Engineering - June 6,Experienced,Full Time,Software Engneering 
Senior Software Quality Control Engineer, CreditGO, Full Time · Experienced · 2-5 Yrs of Exp · Testing · Quality Control · Information Technology (IT) · Computer Science · Software · Engineering · English · Programming · Python · SDLC · Fin Tech - July 5,Experienced,Full Time,Software Engneering 
IT Devops Systems Engineer, Si-Ware Systems, Full Time · Entry Level · 0-3 Yrs of Exp · Information Technology (IT) · Computer Engineering · Computer Science · System Administration · Networking · Automation · Installation/Maintenance/Repair - June 17,Entery Level,Full Time,IT Category
Middle Front End Developer, QCENTRIS, Full Time · Experienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · javaScript · Azure · SASS · CSS3 · OOD · Redux · IT/Software Development - July 28,Experienced,Full Time,Software Engneering 
IT Specialist, Easy Group For Health and Beauty Care, Full Time · Experienced · 2-3 Yrs of Exp · Information Technology (IT) · Computer Science · Installation · Technical Support · Information Systems · Systems · CCNA · MCSA · IT/Software Development - July 27,Experienced,Full Time,IT Category
PHP Developer - Senior & Mid-Level, Ibtikar, Full Time · Shift Based · Work From Home · Experienced · 3-6 Yrs of Exp · Computer Science · PHP · Information Technology (IT) · Software Development · APIs · Software · Laravel · MySQL · Mongo - July 28,Experienced,Full Time,Software Engneering 
IT Recruiter, BBI-Consultancy, Full Time · Experienced · 3-4 Yrs of Exp · Human Resources (HR) · Recruitment · IT · Hiring · English · Human Resources · IT/Software Development - July 26,Experienced,Full Time,IT Category
Frontend Developer, Raya Customer Experience, Full Time · Experienced · 2-3 Yrs of Exp · Computer Science · End-user support · Engineering · Desktop Support · Technical Support · Information Technology · IT · Request Management Process · HTML5 - July 27,Experienced,Full Time,Software Engneering 
PHP Developer, 52nd Solution, Full Time · Experienced · 3-7 Yrs of Exp · PHP · Drupal · WordPress · Symphony · Information Technology (IT) · Computer Science · Software Development · Communication Skills · Software · AWS - July 21,Experienced,Full Time,Software Engneering 
Senior IT System Admin, FlairsTech, Full Time · Experienced · 3-5 Yrs of Exp · Information Technology (IT) · MySQL · PostgreSQL · Bitbucket · Apache · Computer Science · Computer Engineering · Database Administration · MMSQL - July 26,Experienced,Full Time,IT Category
