JobTitle,company,description,Level,Type,StandardJobTitle
IT Help Desk Engineer, Scientific Zone, Full Time · Experienced · 2-3 Yrs of Exp · Information Technology (IT) · Help Desk · Information System · Computer Science · Installation · Troubleshooting · Software · Customer Service · Management - July 7,Experienced,Full Time,IT Category
IT Lead, Masary, Full Time · Experienced · 6-7 Yrs of Exp · Information Technology (IT) · Computer Science · Engineering · Software Development · Security · Software · Communication · Computer · Science · Cisco - June 24,Experienced,Full Time,IT Category
Senior IT Infrastructure Engineer, IGI-Group, Full Time · Experienced · 2-5 Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Computer Engineering · Computer · Science · Installation/Maintenance/Repair - June 21,Experienced,Full Time,IT Category
Software Integration Engineer, Penta-b, Full Time · Experienced · 2-4 Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Computer Engineering · Software · Agile · Linux · IT/Software Development - New,Experienced,Full Time,Software Engneering 
IT Network Specialist, Confidential, Full Time · Experienced · 2-4 Yrs of Exp · Males Only · Information Technology (IT) · Computer Science · Technical Support · Network Administration · Maintenance · Installing · Network Maintenance - June 17,Experienced,Full Time,IT Category
IT System Administrator, PICO, Full Time · Experienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · System Administration · Engineering · Computer · Information Technology · Communication · Technology - July 13,Experienced,Full Time,IT Category
iOS Developer- Damietta, Delta care - دلتاكير, Full Time · Experienced · 2-5 Yrs of Exp · IT Information Technology · Computer Science · iOS · Mobile Development · Swift · IT/Software Development · Engineering - Telecom/Technology - New,Experienced,Full Time,Software Engneering 
IT Engineer, El Panda Co. For Import and Export And Trading Agencies, Part Time · Contract · Experienced · 3-5 Yrs of Exp · Computer Science · Software Development · Information Technology (IT) · Engineering · Telecom Engineering · Maintenance · English - June 27,Experienced,Part Time,IT Category
Senior Java Developer, siParadigm Egypt, Full Time · Experienced · 3-7 Yrs of Exp · J2EE · Web Development · Software Development · EJB3 · JPA · MYSQL · Wildfly · Linux · Java · Software Engineering · Computer Science · MySQL · Eclipse - June 15,Experienced,Full Time,Software Engneering 
IT Help Desk, Minlo, Full Time · Experienced · 2-5 Yrs of Exp · Computer Science · Help Desk · Information Technology (IT) · Installation · Installation/Maintenance/Repair · IT/Software Development - June 27,Experienced,Full Time,IT Category
IT Engineer, INTECH, Full Time · Experienced · 2-4 Yrs of Exp · Males Only · Computer Science · Information Technology (IT) · Engineering · Computer · Communication Engineering · Software Development · English - June 17,Experienced,Full Time,IT Category
Senior Software Integration Engineer, Masria Digital Payment (MDP), Full Time · Experienced · 3-5 Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Agile · Software Engineering · Git · Design · Java · Development · JSON · REST - July 29,Experienced,Full Time,Software Engneering 
Software Tester, DevartLab, Full Time · Experienced · 3-5 Yrs of Exp · Information Technology (IT) · Software Testing · Selenium · Testing · Selenium Webdriver · Computer Science · English · IT/Software Development · Quality - July 26,Experienced,Full Time,Software Engneering 
Senior Software Engineer, Brantu AB, Full Time · Experienced · 3-5 Yrs of Exp · Computer Science · Software Engineering · Software · Engineering · javaScript · React · Back-End · Information Technology (IT) · Software Development - New,Experienced,Full Time,Software Engneering 
IT Help Desk Specialist, El Mansour Development, Full Time · Experienced · 2+ Yrs of Exp · Information Technology (IT) · Computer Science · Help Desk · Installation · Technical Support · IT · Computer · Computer Systems · Technical · CCTV - June 7,Experienced,Full Time,IT Category
Sales Account Manager - Software, Wireless Dynamics, Full Time · Experienced · 3-5 Yrs of Exp · Sales · Sales Skills · Customer Service · English · Sales Target · IT Sales · Software Sales · Software Account Manager · Software · Business Development - New,Experienced,Full Time,Software Engneering 
IT Specialist, Teqneyat, Full Time · Experienced · 3-5 Yrs of Exp · Information Technology (IT) · Computer Science · Data Storage · Installation · Computer Hardware · Software · Maintenance · Help Desk · Technical Support - June 15,Experienced,Full Time,IT Category
Software Test Automation Engineer, AFKAR Technology, Full Time · Experienced · 2-5 Yrs of Exp · Automation · Java · RPA · C# · Software Testing · Selenium · Testing · Programming · Computer Science · Information Technology (IT) · Test Automation - July 26,Experienced,Full Time,Software Engneering 
