JobTitle,company,description,Level,Type,StandardJobTitle
Senior Full Stack Development Team Leader (PHP..., ExaServe LLC, Full Time · Work From Home · Manager · 3-6 Yrs of Exp · Laravel · PHP · SQL · MVC · jQuery · javaScript · Git · MySQL · AJAX · Vue.js · Information Technology (IT) · Computer Science - June 24,Managerial,Full Time,Software Engneering 
Frontend Developer Team Leader, A1Softech, Full Time · Manager · 5-10 Yrs of Exp · Angular · Agile · OOP · Design · HTML · javaScript · CSS · Software · Development · Software Development · Computer Science · Information Technology (IT) - June 21,Managerial,Full Time,Software Engneering 
Android Developer-Senior Mid Level, Shelter Technology, Full Time · Manager · 2-4 Yrs of Exp · Android Development · Native Android · Information Technology (IT) · Software Development · Computer Science · Android · English · IT/Software Development - June 27,Managerial,Full Time,Software Engneering 
Back End Technical Lead, Shasha, Full Time · Manager · 6-10 Yrs of Exp · Males Only · node.js · APIs · Information Technology (IT) · Computer Science · Software Development · Web Development · IT/Software Development - June 20,Managerial,Full Time,Software Engneering 
Front-End UI/UX Design/Development Lead, Confidential, Full Time · Manager · 4+ Yrs of Exp · UI · UX · Design · HTML5 · CSS3 · Information Technology (IT) · Computer Engineering · Computer Science · Software Development · Management · UI/UX · CSS - June 6,Managerial,Full Time,Software Engneering 
Sales Development Manager, Confidential, Full Time · Manager · 5-10 Yrs of Exp · Business Development · Sales Target · Development · Sales Skills · Sales · English · Management · Business · CRM · Operations/Management · Sales/Retail - July 27,Managerial,Full Time,Software Engneering 
Lead Database Developer, FlairsTech, Full Time · Manager · 5+ Yrs of Exp · sql · SQL Server · ETL · Computer Science · Information Technology (IT) · AWS · Agile · Computer Engineering · PowerBI · MS SQL · Migrations · MS SQL Server - July 14,Managerial,Full Time,Software Engneering 
Real Estate Sales Manager - Developer Company, Confidential, Full Time · Manager · 10-15 Yrs of Exp · Sales · Sales Skills · realestate · CRM · Sales Target · Real Estate · Market Analysis · Spreadsheets · Adobe Suite · Sales Management · Sales Planning - June 24,Managerial,Full Time,Software Engneering 
Unit Sales Manager, UNI Power, Full Time · Manager · 5-7 Yrs of Exp · Sales · Sales Skills · Sales Target · Customer Service · Engineering · MBA · Electrical · Renewable Energy · UPS · Data Center · BMS · Sales Management - June 23,Managerial,Full Time,Software Engneering 
ERP Sales Manager, Rednet It Services, Full Time · Manager · 5+ Yrs of Exp · Sales · ERP Sales · Sales Management · Sales Planning · Marketing · Market Research · Sales Strategy · Software Sales · Information Technology (IT) - June 7,Managerial,Full Time,Software Engneering 
Real Estate Sales Manager (Developer Company), Options, Full Time · Manager · 4+ Yrs of Exp · Real Estate · Sales · Sales Target · Sales Skills · English · Arabic · Marketing · Leadership · Operations/Management · Sales/Retail - July 28,Managerial,Full Time,Software Engneering 
Business Development Manager, Axcell, Full Time · Manager · 7+ Yrs of Exp · Business Development · Business Administration · Sales Management · Business · Administration · Management · English · CRM · Sales · Marketing · Finance - June 6,Managerial,Full Time,Software Engneering 
Business Development Manager - Advertising, Sketch Advertising, Full Time · Manager · 6-7 Yrs of Exp · Business Development · Sales · Marketing · Business · Communication Skills · Advertising · Sales Target · Sales Skills · Digital Advertising · Sales/Retail - July 8,Managerial,Full Time,Software Engneering 
Sales Manager, Egyptian Tourism Federation, Full Time · Manager · 7+ Yrs of Exp · Sales Skills · Marketing · Sales · Sales Target · Customer Service · Sales Management · Sales/Retail - June 22,Managerial,Full Time,Software Engneering 
Sales Manager Real Estate, Solaimaneyah, Full Time · Manager · 5-10 Yrs of Exp · Females Preferred · Sales · Sales Skills · Real Estate · Property · Sales Target · Sales/Retail - July 17,Managerial,Full Time,Software Engneering 
PHP Team Leader, Arabia for Information Technology, Full Time · Manager · 6+ Yrs of Exp · PHP · Web Development · Computer Engineering · Computer Science · Software Development · Web Application Design · Information Technology (IT) · Laravel - July 27,Managerial,Full Time,Software Engneering 
Market Research Manager - Mobile Phones, IDC, Full Time · Manager · 8-10 Yrs of Exp · Information Technology (IT) · Market Research · Communication Skills · Research · IT · English · Analysis · mobile phones · telecom · Operations/Management - July 14,Managerial,Full Time,Software Engneering 
PHP Team Leader, Expand Cart, Full Time · Manager · 5+ Yrs of Exp · PHP · Web Development · HTML · CSS · Bootstrap · jQuery · Angular JS · Information Technology (IT) · Full Stack · Front End · Back End · PHPTAL · HTML5 - New,Managerial,Full Time,Software Engneering 
Senior Project Manager, e-finance, Full Time · Manager · 10-12 Yrs of Exp · Information Technology (IT) · Project Management · PMP · Software Development · SQL · Oracle · Server · IBM · Software Engineering · English - June 19,Managerial,Full Time,Software Engneering 
Team Lead (Java / Angular), Hatley App, Full Time · Manager · 6+ Yrs of Exp · Engineering · Information Technology (IT) · Computer Science · Software Development · javaScript · Software · Angular · PHP · MVC · Development · Java - July 15,Managerial,Full Time,Software Engneering 
Dynamics AX2012 /D365 F&O Technical/developer..., Premier Services and Recruitment Overseas, Full Time · Manager · 3-5 Yrs of Exp · Dynamics · Information Technology (IT) · Engineering · Computer Science · D365 · SQL · OOP · English · ERP · .NET · C# · IT/Software Development - June 10,Managerial,Full Time,Software Engneering 
Jira Team Lead, FlairsTech, Full Time · Manager · 7+ Yrs of Exp · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software · Agile · CRM · Testing · Computer Engineering · GreatPlains · SQL - July 25,Managerial,Full Time,Software Engneering 
Mobile Engineering Lead - Android & IOS, PaySky, Full Time · Manager · 4+ Yrs of Exp · Mobile Applications · Information Technology (IT) · Computer Science · Computer Engineering · iOS · Android · UI Design · UX · App Store · Android UI Design - July 7,Managerial,Full Time,Software Engneering 
Chief Information Officer, ITIDA, Full Time · Manager · 20-20 Yrs of Exp · IT · Information Technology (IT) · IT/Software Development · Operations/Management - June 17,Managerial,Full Time,Software Engneering 
Business Analyst Lead, egabi solutions, Full Time · Manager · 5+ Yrs of Exp · Information Technology (IT) · Computer Science · Project Management · Business Analysis · Business · English · Software · Engineering · Software Development - July 6,Managerial,Full Time,Software Engneering 
First Line Sales Manager (FLSM) - Pharmaceutical, Multicare, Full Time · Manager · 2-5 Yrs of Exp · Sales · Pharmaceutical · Sales Skills · English · Pharmacy · Veterinary · Operations/Management · Sales/Retail · Pharmaceutical - July 25,Managerial,Full Time,Software Engneering 
Chief Accountant, Team 4 Security, Full Time · Manager · 7-10 Yrs of Exp · Accounting · Finance · ERP · Excel · General Ledger · Tax · Financial Analysis · Accounting Software · Financial · Accounting/Finance - July 25,Managerial,Full Time,Software Engneering 
Java Technical Lead, KnowledgeNet, Full Time · Manager · 6+ Yrs of Exp · Computer Science · Computer Engineering · Testing · Design · Spring Stack · Core · MVC · Data · Security · Web Stack · HTML · CSS · Maven · Subversion SVN - New,Managerial,Full Time,Software Engneering 
Java Team Leader / Technical Lead, Asset Technology Group, Full Time · Manager · 7-10 Yrs of Exp · Core Java · Java · Software Development · Information Technology (IT) · Core · Computer Science · IT/Software Development · Engineering - Telecom/Technology - June 10,Managerial,Full Time,Software Engneering 
Technical Team Lead - Front End (Angular 8+), Neom Tech, Full Time · Manager · 6+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Angular · Front End · Software · Git · Design · HTML5 · CSS3 · Agile · SASS - July 26,Managerial,Full Time,Software Engneering 
ERP Supervisor, Confidential, Full Time · Manager · 7+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Engineering · Engineering · MIS · Technical Management · Information Analysis · Software · ERP - July 5,Managerial,Full Time,Software Engneering 
Senior Technical Manager, TEBCOM, Full Time · Manager · 10-15 Yrs of Exp · Computer Science · Information Technology (IT) · Software · Engineering · Technical · Java · CSS · HTML · javaScript · Software Engineering · React - July 14,Managerial,Full Time,Software Engneering 
Product Marketing Manager, Confidential, Full Time · Manager · 5+ Yrs of Exp · Product Management · Marketing · Information Technology (IT) · Product · Software · Software Development · Analytical · Management · Product Marketing - July 14,Managerial,Full Time,Software Engneering 
Technical Delivery Manager, ITIDA, Full Time · Manager · 12+ Yrs of Exp · Computer Science · Project Management · Technical · Information Technology (IT) · Analysis · Engineering · Leadership · IT/Software Development - June 18,Managerial,Full Time,Software Engneering 
.NET Team Leader, asasalqarar, Full Time · Manager · 7-12 Yrs of Exp · ASP.NET · MVC · Linq · AJAX · HTML · CSS · jQuery · JavaSript · AnjularJS · Microsoft SQL Server · Computer Science · Information Technology (IT) · .NET - June 8,Managerial,Full Time,Software Engneering 
National Sales Manager, Confidential, Full Time · Manager · 3-5 Yrs of Exp · Pharmaceutical · Leadership · Manager · Sales · Sales Skills · Sales Target · Sales Management · National Sales · Pharmacy · CRM · Microsoft Office · Pharma - July 7,Managerial,Full Time,Software Engneering 
Back-End Engineering Lead, TurnDigital, Full Time · Manager · 5-7 Yrs of Exp · Startup · Computer Engineering · Information Technology (IT) · Computer Science · C# · MSSQL · SQL · ASP.NET · MVC · JSON · XML · HTML · javaScript - June 30,Managerial,Full Time,Software Engneering 
Creative Director, Teraz, Full Time · Manager · 10+ Yrs of Exp · Marketing · Design · Art · Social Media · Digital Marketing · Business · Social · Digital · Media · Graphic Design · Creative · Communication - July 5,Managerial,Full Time,Software Engneering 
Full Stack Technical Lead., Cegedim, Full Time · Manager · 5+ Yrs of Exp · Information Technology (IT) · Full Stack · Engineering · Software Development · Computer Science · Development · Java · Software · React · Agile · javaScript - June 13,Managerial,Full Time,Software Engneering 
Senior Scrum Master, FlairsTech, Full Time · Manager · 5+ Yrs of Exp · Information Technology (IT) · Computer Science · Agile · Scrum · Software Development · Software · Jira · Development · English · Agile Methodology · RESTful - July 25,Managerial,Full Time,Software Engneering 
E-Commerce Lead, Johnson Controls, Full Time · Manager · 5-7 Yrs of Exp · E-Commerce · Digital · Sales · Marketing · Sales Skills · English · Digital Sales Drivers · E-Commerce Marketing · Channel Management · Project Management - June 21,Managerial,Full Time,Software Engneering 
R&D Manager, Monginis Bakery, Full Time · Manager · 8-10 Yrs of Exp · FMCG · Science · Engineering · Project Management · Development · Safety · R&D · Food Safety · QMS · ISO 22000 · Regulatory/Legal · R&D/Science · Quality - June 22,Managerial,Full Time,Software Engneering 
PHP Team Leader, e Aswaaq Misr, Full Time · Manager · 5+ Yrs of Exp · Computer Science · Information Technology (IT) · PHP · Software Development · HTML · Programming · Java · CSS · AJAX · javaScript · IT/Software Development - June 22,Managerial,Full Time,Software Engneering 
Marketing Manager, United Doctors, Full Time · Manager · 5+ Yrs of Exp · Marketing · Branding · Marketing Strategies · Leadership · Medical · Communication · Management · Sales · Analytical · Social Media · Media - June 16,Managerial,Full Time,Software Engneering 
Erp Project Manager, El Welely Group, Full Time · Manager · 5-7 Yrs of Exp · Project Management · ERP · Oracle · Salesbuzz · Analysis · Information Technology (IT) · Computer Science · Engineering · Management · Software · Business - June 9,Managerial,Full Time,Software Engneering 
Business Analyst SW Solutions, nilecode, Full Time · Work From Home · Manager · 3+ Yrs of Exp · Business Analysis · Analysis · Information Technology (IT) · Computer Science · Engineering · Agile · Software development · project management - June 15,Managerial,Full Time,Software Engneering 
Marketing Manager - Pharmaceutical, Multicare, Full Time · Manager · 3-5 Yrs of Exp · Pharmaceutical · Sales · #businessdevelopment · #marketing · #management · #brandbuilding · #KOLmanagement · Marketing · Pharmacy · English · Pharmaceutical - June 30,Managerial,Full Time,Software Engneering 
Service Delivery Manager, Forte Cloud, Full Time · Manager · 12+ Yrs of Exp · Management · Service Delivery · Computer Science · IT · cloud · AWS · Customer Service · Delivery · Software · Engineering · Design · Security · Network - June 13,Managerial,Full Time,Software Engneering 
Technical Back End Lead (.Net ), Arabian Systems, Full Time · Manager · 3+ Yrs of Exp · Information Technology (IT) · ASP.NET · .NET · Microsoft SQL Server · Computer Science · Software Development · MVC · SQL · Web Development · Engineering - June 28,Managerial,Full Time,Software Engneering 
