JobTitle,company,description,Level,Type,StandardJobTitle
Game and Web UI/UX Designer - Remote, Colonist, Full Time · Work From Home · Entry Level · UX · UI · Web Design · Design · Web · UI/UX · Information Technology (IT) · Computer Science · Designer · UX Designer · UI/UX Designer · Games · Gaming - July 18,Entery Level,Full Time,Software Engneering 
Call Center Agent, Allamna Integrated Solutions, Full Time · Entry Level · 0-1 Yrs of Exp · Customer Service · Customer Support · Call Center · Microsoft · Customer Care · CRM · Customer Service/Support - July 4,Entery Level,Full Time,Software Engneering 
Senior Business Analyst, Fekra Construction Investments, Full Time · Work From Home · Entry Level · 2+ Yrs of Exp · Information Technology (IT) · Computer Science · Business Analysis · Analysis · Communication Skills · English · Agile · Communication - June 6,Entery Level,Full Time,Software Engneering 
Junior UI UX Designer, Beyond Solution, Full Time · Entry Level · 1+ Yrs of Exp · UI/UX · Adobe XD · HTML5 · CSS · Figma · UI · UX · Information Technology (IT) · Computer Science · Usability · InVision · Design · Creative/Design/Art - July 14,Entery Level,Full Time,Software Engneering 
SD Consultant, Pharma Overseas, Full Time · Entry Level · 2+ Yrs of Exp · SAP · SD · Computer Science · Information Technology (IT) · SAP Project · Management · IT/Software Development · Engineering - Telecom/Technology - July 28,Entery Level,Full Time,Software Engneering 
Molecular Biology Sales Specialist, delta trading & development, Full Time · Entry Level · 1-3 Yrs of Exp · Biology · Sales Target · Science · Sales Skills · Sales · Biomedical · Biomedical Science · R&D/Science · Medical/Healthcare · Sales/Retail - July 25,Entery Level,Full Time,Software Engneering 
Sports Operations Coordinator, Wadi Degla Group, Full Time · Entry Level · 1-3 Yrs of Exp · Sports · Operations · Computer Science · Computer Skills · Sports Administration · Sports Camps · Sports Electronic Systems · Administration - July 6,Entery Level,Full Time,Software Engneering 
Clinical Pathologist, Confidential, Full Time · Entry Level · 1-3 Yrs of Exp · Pathology · Medical · Clinical Pathology · Medicine · Surgery · Analysis · R&D/Science · Medical/Healthcare · Analyst/Research - June 23,Entery Level,Full Time,Software Engneering 
Marketing Executive, Carina Wear, Full Time · Entry Level · 0-2 Yrs of Exp · Females Preferred · Marketing · Social Media · Communication · Business Administration · English · Software · Market Research · Research - June 21,Entery Level,Full Time,Software Engneering 
Marketing Executive, Carina Wear, Full Time · Entry Level · 0-2 Yrs of Exp · Females Preferred · Marketing · Social Media · Communication · Business Administration · English · Software · Market Research · Research - June 21,Entery Level,Full Time,Software Engneering 
System Support Analyst, Flojics, Full Time · Entry Level · 1-3 Yrs of Exp · information technology · Information Technology (IT) · Computer Science · Technical Support · ITIL · Cloud · Azure · AWS · Installation/Maintenance/Repair - July 15,Entery Level,Full Time,Software Engneering 
Creative Social Media Graphic Designer, Green Line For Glass Metal Architecture, Full Time · Entry Level · 1-3 Yrs of Exp · Social Media · Design · Graphic Design · Marketing · Creative · Photoshop · Adobe Creative Suite · Communication · InDesign · Adobe · Creative Suite - July 8,Entery Level,Full Time,Software Engneering 
IoT Operation Engineer - Alexandria, Smart EGAT, Full Time · Entry Level · 1-7 Yrs of Exp · Communications Engineering · Computer Engineering · IOT · Smart City · Engineering · Operations · Computer Science · Information Technology (IT) · ITI - June 13,Entery Level,Full Time,Software Engneering 
Infrastructure Engineer – LAN Data Center L1/L2/L3, SmartTech Systems, Full Time · Entry Level · 1-2 Yrs of Exp · Network · Engineering · LAN Data Center · Data Center · Networking · ITIL · English · BGP · CCNA · DHCP · DNS · Firewall · IPAM · IPsec · OSPF - July 13,Entery Level,Full Time,Software Engneering 
Customer Care Agent, Ibn Sina Pharma, Full Time · Entry Level · 0-1 Yrs of Exp · Customer Service · Customer Care · Customer Support · Communication · English · Skills · Customer · Negotiation Skills · Customer Focus · Service - June 29,Entery Level,Full Time,Software Engneering 
Digital Media Engineer (Technical Video Editor), Pixelogic Media Egypt, Full Time · Entry Level · 1-3 Yrs of Exp · Media Production · Video · Audio · iTunes · Google · Netflix · Digital Media · Communication · Media · Social Media · Video Editing - June 20,Entery Level,Full Time,Software Engneering 
Account Executive - Dokki, Evolution by Nadeem Khaled, Full Time · Entry Level · 1-3 Yrs of Exp · Females Preferred · Zendesk · Intercom · Customer Care · Customer Service · Customer Support · English · Notion · Sales · Arabic · Operations · Skills - June 13,Entery Level,Full Time,Software Engneering 
Cost Accountant, Elaraby Group, Full Time · Entry Level · 1-3 Yrs of Exp · Males Only · Finance · Accounting · Financial Analysis · Cost Accounting · Microsoft Office · Cost · Manufacturing · Communication Skills · Office - June 23,Entery Level,Full Time,Software Engneering 
HR Admin, Interact Technology Solutions, Full Time · Entry Level · 1-2 Yrs of Exp · Human Resources (HR) · HR · HRIS · Finance · Business Administration · Microsoft Office · Recruitment · Operations · Training · Office Management - June 21,Entery Level,Full Time,Software Engneering 
Sales Representative - Helwan, Bluebell Pharmaceuticals, Full Time · Entry Level · 1-3 Yrs of Exp · Sales · Sales Skills · Communication Skills · Medical · Sales Target · Pharma · Pharmacy · Pharmaceutical · Microsoft Office · Medical/Healthcare - June 20,Entery Level,Full Time,Software Engneering 
HR Coordinator, Interact Technology Solutions, Full Time · Entry Level · 1-3 Yrs of Exp · Human Resources (HR) · HR · HRIS · Finance · Business Administration · Microsoft Office · Recruitment · Operations · Training · Office Management - June 20,Entery Level,Full Time,Software Engneering 
Sales Representative, Confidential, Full Time · Entry Level · 1+ Yrs of Exp · Sales Skills · Beauty · Beauty Salons · Sales · Sales Target · Computer Skills · Microsoft Office · Promotions · Cosmeceuticals · Hairdressers - June 20,Entery Level,Full Time,Software Engneering 
CX & Sales Executive (Operations) - Dokki, Evolution by Nadeem Khaled, Full Time · Entry Level · 1-3 Yrs of Exp · Females Only · Zendesk · Intercom · Customer Care · Customer Service · Customer Support · English · Notion · Sales · Arabic · Operations · Sales Skills - June 8,Entery Level,Full Time,Software Engneering 
German Speaker- B2B Sales Representative(Cairo), FlairsTech, Full Time · Shift Based · Work From Home · Entry Level · 1-5 Yrs of Exp · Sales Skills · Sales · B2B Sales · German · APAC · Communication Skills · EMEA · Communication · Sales Target · English - July 27,Entery Level,Full Time,Software Engneering 
Ecommerce Accountant, Confidential, Full Time · Entry Level · 2-4 Yrs of Exp · Accounting · Finance · Financial Analysis · Excel · Computer Skills · General Ledger · ecommerce · Accounting/Finance - June 27,Entery Level,Full Time,Software Engneering 
French - Customer Service Representative..., Pillars, Full Time · Entry Level · 0-7 Yrs of Exp · Customer Service · French · Customer Care · Customer Service/Support - July 11,Entery Level,Full Time,Software Engneering 
E-Commerce Logistic Specialist, Confidential, Full Time · Entry Level · 1-3 Yrs of Exp · E-Commerce · Marketing · English · Social Media · Sales · Media · Communication · Business · Social · Skills · Logistics/Supply Chain - July 6,Entery Level,Full Time,Software Engneering 
Telecommunications Engineer, Xceed, Full Time · Entry Level · 0-2 Yrs of Exp · CCNA · Engineering · Information Technology (IT) · Computer Science · Telecommunication · Computer Skills · PRIS · CCC · Communication · English - July 14,Entery Level,Full Time,Software Engneering 
Application Consultant ( Microsoft Dynamics 365..., BCS, Full Time · Entry Level · 1-3 Yrs of Exp · Computer Science · Business Administration · Human Resources · Finance · AX · Information Technology (IT) · Microsoft Dynamics 365 · Dynamics AX 2012 - July 13,Entery Level,Full Time,Software Engneering 
Junior Data Scientist/ML Engineer, TMentors, Full Time · Entry Level · 0-3 Yrs of Exp · Computer Science · Machine Learning · Data Science · Python · Engineering · ETL · Cloud · Information Technology (IT) · SQL · Statistics · Mathematics - July 10,Entery Level,Full Time,Software Engneering 
ERP Project Coordinator, Rowad Modern Engineering, Full Time · Entry Level · 1-2 Yrs of Exp · ERP · Logistics · Microsoft Office · Oracle · Computer Science · Project Management · English · IT/Software Development · Project/Program Management - June 7,Entery Level,Full Time,Software Engneering 
UI UX Designer, Uniparticle, Full Time · Entry Level · 1+ Yrs of Exp · Photoshop · HTML5 · illustrator · adobe xd · css3 · user centric · wireframes · user interface · user experience · UX · UI · Information Technology (IT) - July 4,Entery Level,Full Time,Software Engneering 
Sales Account Manager (Indoor), Rockal, Full Time · Entry Level · 0-1 Yrs of Exp · CRM · Sales Skills · Sales · Market Research · Customer Support · Business Development · Corporate Sales · B2B · Customer Care · Sales Target · English - June 20,Entery Level,Full Time,Software Engneering 
Banking Customer Service Executive (Fresh..., Pillars, Full Time · Entry Level · 1-7 Yrs of Exp · Customer Service · English · Banking · Banking · Customer Service/Support - June 23,Entery Level,Full Time,Software Engneering 
Financial Reporting & Budgeting Analyst, IFT Corporation, Full Time · Entry Level · 1-3 Yrs of Exp · Finance · Accounting · Financial Analysis · Financial Reporting · Budgeting · English · Reporting · Financial · Accounting/Finance · Analyst/Research - July 15,Entery Level,Full Time,Software Engneering 
Network Administration Engineer, Elaraby Group, Full Time · Entry Level · 1-3 Yrs of Exp · Males Only · Computer Science · Information Technology (IT) · Engineering · Network Administration · CCNA · Network · Communication · Hardware · English - June 23,Entery Level,Full Time,Software Engneering 
Fresh Graduate Cash Services Analyst..., Pillars, Full Time · Entry Level · 0-5 Yrs of Exp · Banking · Cash · Customer Service · English · Banking · Customer Service/Support - June 7,Entery Level,Full Time,Software Engneering 
HR & Admin Specialist, Ortho-House for Medical Services, Full Time · Entry Level · 1-3 Yrs of Exp · Human Resources (HR) · Recruitment · Microsoft Office · Business Administration · Human Resources · Sourcing · Business · Management · Administration - June 16,Entery Level,Full Time,Software Engneering 
Agricultural Researcher, RITEC, Full Time · Entry Level · 0-3 Yrs of Exp · Research · Agriculture · Analysis · English · Agricultural · R&D/Science · Analyst/Research · Engineering - Other - June 10,Entery Level,Full Time,Software Engneering 
